nodeid,layer,region,latitude,longitude,parameter,unit,value,window,ecoimpactscore,notes
PHX-N1-INGRESS,BCIIngress,Phoenix-AZ,33.4522,-112.0738,GatewayPowerDraw,mW,750,2026-01-01/2026-12-31,0.82,Neuromorphic Loihi/Akida edge decoding keeps BCI ingress below 1 W while supporting <20 ms loop latency for assistive control.
PHX-N1-INGRESS,BCIIngress,Phoenix-AZ,33.4522,-112.0738,RawNeuroExport,percent,0,2026-01-01/2026-12-31,0.95,State-only exposure policy enforces zero export of raw neural waveforms beyond the ingress node to protect mental privacy and neurorights.
PHX-PRIVACY,DataRouter,Phoenix-AZ,33.4522,-112.0738,StateOnlyTunnel,boolean,1,2026-01-01/2026-12-31,0.93,Routers expose only anonymized state bands sleep stage,risk band to external AI agents not raw BCI or personal content.
PHX-CYBERSWARM,GovSafety,Phoenix-AZ,33.4522,-112.0738,SafetyKernelDim,axes,7,2026-01-01/2026-12-31,0.90,Seven-axis viability kernel intensity,duty,load,power,neuromod amplitude,cognitive load,legal complexity constrains all augmentation worklines.
PHX-CYBERSWARM,GovSafety,Phoenix-AZ,33.4522,-112.0738,MaxCognitiveLoadIndex,unitless,0.7,2026-01-01/2026-12-31,0.88,Control-barrier conditions reject BCI/XR actions predicted to push users above 0.7 normalized cognitive load under worst-case disturbances.
PHX-DREAMNET,SleepXR,Phoenix-AZ,33.4522,-112.0738,DreamGamingCarbonIndex,kgCO2ehour,0.02,2026-01-01/2026-12-31,0.87,Dream-gated XR loads are capped at 0.02 kg CO2e/h equivalent by shifting compute into low-energy sleep windows using neuromorphic edge hardware.
PHX-DREAMNET,SleepXR,Phoenix-AZ,33.4522,-112.0738,DreamContentStored,percent,0,2026-01-01/2026-12-31,0.97,Only structural sleep-state features and climate metrics are stored no subjective content is persisted to respect mental privacy.
PHX-CYBERCORE,GovOS,Phoenix-AZ,33.4522,-112.0738,ConsensusThreshold,ratio,0.7,2026-01-01/2026-12-31,0.91,Multistakeholder Cybercore-Brain decisions require â‰¥70% approval from clinicians,engineers,ethicists,and augmented representatives.
PHX-CYBERCORE,GovOS,Phoenix-AZ,33.4522,-112.0738,NeuroRightsPolicyCoverage,percent,100,2026-01-01/2026-12-31,0.96,All XR and BCI worklines are tagged with neurorights.* particles and must pass automated checks before CI/CD promotion.
PHX-WATER-NODE,EcoLink,Phoenix-AZ,33.8530,-112.2690,PFBSLakePleasant,ngL,3.9,2024-11-15/2024-11-15,0.88,PFBS 3.9 ng/L at Lake Pleasant Parkway node links Neurostack Karma to real CAP PFAS monitoring near Phoenix.
PHX-WATER-NODE,EcoLink,Phoenix-AZ,33.3000,-112.4000,GilaEcoli,MPN100mL,410,2025-05-20/2025-05-20,0.92,Gila River at Estrella shows elevated E. coli; Neurostack Karma accounts for smart-city interventions that reduce contact risk.
PHX-ENERGY-NODE,EcoLink,Phoenix-AZ,33.4522,-112.0738,LabElectricityIntensity,gCO2perkWh,80,2026-01-01/2026-12-31,0.89,Target intensity 80 g CO2/kWh via local PV and PPAs aligns with synthetic-fuel and smart-city thresholds used in EcoNet water and SpaceX shards.
